"Date","Action_Type","Language","Content_Category","Day_of_Week","Impressions","CTR","Clicks"
2023-03-07,"Instagram Post","Spanish","Marketing Automation","Tuesday",2164,0.0178239110001163,39
2023-03-07,"LinkedIn Post","Italian","Platform Improvements","Tuesday",1779,0.0115288735118496,21
2023-03-08,"Instagram Post","French","Humor","Wednesday",2143,0.0246251222344871,53
2023-03-08,"LinkedIn Post","English","Events","Wednesday",1600,0.00957739666288732,15
2023-03-09,"Instagram Post","English","Humor","Thursday",1969,0.0188073654989393,37
2023-03-09,"LinkedIn Post","English","Partners","Thursday",1527,0.0115460731883997,18
2023-03-10,"Instagram Post","English","Events","Friday",2174,0.0143549284247477,31
2023-03-10,"LinkedIn Post","French","Marketing Automation","Friday",1805,0.0114515438046674,21
2023-03-13,"Instagram Post","English","Platform Improvements","Monday",2002,0.0177282887755432,35
2023-03-13,"LinkedIn Post","Spanish","Partners","Monday",1581,0.0097771075176492,15
2023-03-14,"Instagram Post","French","Partners","Tuesday",2325,0.0171791186585709,40
2023-03-14,"LinkedIn Post","Portuguese","Platform Improvements","Tuesday",1384,0.0130622450721708,18
2023-03-15,"Instagram Post","English","Humor","Wednesday",2277,0.020653863215761,47
2023-03-15,"LinkedIn Post","Spanish","Events","Wednesday",1812,0.00853144687873855,15
2023-03-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Wednesday",11199,0.100233101498122,1122
2023-03-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Wednesday",8218,0.114660200913408,942
2023-03-15,"Newsletter","English","Monthly Newsletter","Wednesday",13029,0.0956306016769876,1246
2023-03-16,"Instagram Post","English","Platform Improvements","Thursday",2089,0.019978047811525,42
2023-03-16,"LinkedIn Post","Spanish","Platform Improvements","Thursday",1699,0.013432970015746,23
2023-03-17,"Instagram Post","French","Humor","Friday",2144,0.0206805027800684,44
2023-03-17,"LinkedIn Post","English","Humor","Friday",1615,0.0130665143046424,21
2023-03-20,"Instagram Post","English","Marketing Automation","Monday",2095,0.0176247914085097,37
2023-03-20,"LinkedIn Post","English","Events","Monday",1532,0.00863329601529709,13
2023-03-21,"Instagram Post","English","Platform Improvements","Tuesday",2205,0.0191618217390596,42
2023-03-21,"LinkedIn Post","Spanish","Platform Improvements","Tuesday",1206,0.0154248450550904,19
2023-03-22,"Instagram Post","Spanish","Partners","Wednesday",2273,0.0172676968216749,39
2023-03-22,"LinkedIn Post","Italian","Humor","Wednesday",1732,0.013581864248791,24
2023-03-23,"Instagram Post","Spanish","Events","Thursday",1933,0.0139058973954454,27
2023-03-23,"LinkedIn Post","English","Marketing Automation","Thursday",1988,0.00891133836136916,18
2023-03-24,"Instagram Post","English","Humor","Friday",2311,0.0218796651449869,51
2023-03-24,"LinkedIn Post","English","Marketing Automation","Friday",1442,0.0108299754717416,16
2023-03-27,"Instagram Post","Spanish","Events","Monday",1754,0.0128628620146512,23
2023-03-27,"LinkedIn Post","Spanish","Platform Improvements","Monday",1630,0.0109884332679521,18
2023-03-28,"Instagram Post","Spanish","Humor","Tuesday",2431,0.0217848850366408,53
2023-03-28,"LinkedIn Post","English","Platform Improvements","Tuesday",1533,0.0127121770094138,19
2023-03-29,"Instagram Post","English","Partners","Wednesday",1676,0.018319398801146,31
2023-03-29,"LinkedIn Post","English","Marketing Automation","Wednesday",1511,0.0122935479231458,19
2023-03-30,"Instagram Post","English","Platform Improvements","Thursday",2319,0.0161133398158865,37
2023-03-30,"LinkedIn Post","English","Platform Improvements","Thursday",1591,0.0108553501116543,17
2023-03-31,"Instagram Post","English","Events","Friday",2132,0.0136892548978766,29
2023-03-31,"LinkedIn Post","English","Humor","Friday",1548,0.0149491456899042,23
2023-04-03,"Instagram Post","English","Marketing Automation","Monday",2292,0.0176371641485936,40
2023-04-03,"LinkedIn Post","Spanish","Events","Monday",1791,0.00885518432499565,16
2023-04-04,"Instagram Post","English","Partners","Tuesday",1649,0.0174896819436564,29
2023-04-04,"LinkedIn Post","Spanish","Humor","Tuesday",1771,0.0137622397843364,24
2023-04-05,"Instagram Post","French","Partners","Wednesday",2306,0.0178803280736084,41
2023-04-05,"LinkedIn Post","Portuguese","Marketing Automation","Wednesday",1561,0.0107061032486033,17
2023-04-06,"Instagram Post","French","Partners","Thursday",2245,0.0205458357564231,46
2023-04-06,"LinkedIn Post","English","Events","Thursday",1650,0.00931004323517547,15
2023-04-07,"Instagram Post","Spanish","Platform Improvements","Friday",2018,0.0193839316767176,39
2023-04-07,"LinkedIn Post","English","Marketing Automation","Friday",1802,0.0124320870206621,22
2023-04-10,"Instagram Post","English","Humor","Monday",2522,0.0191674631838579,48
2023-04-10,"LinkedIn Post","Spanish","Marketing Automation","Monday",1794,0.010997872089925,20
2023-04-11,"Instagram Post","English","Marketing Automation","Tuesday",2282,0.0175754790178084,40
2023-04-11,"LinkedIn Post","Italian","Partners","Tuesday",1338,0.00985707783908083,13
2023-04-12,"Instagram Post","Portuguese","Humor","Wednesday",2480,0.0228449650047445,57
2023-04-12,"LinkedIn Post","Spanish","Events","Wednesday",1838,0.00659147865284975,12
2023-04-13,"Instagram Post","Italian","Humor","Thursday",2137,0.0224013755856644,48
2023-04-13,"LinkedIn Post","English","Platform Improvements","Thursday",1831,0.0124632742622799,23
2023-04-14,"Instagram Post","Spanish","Humor","Friday",2158,0.0195074968809939,42
2023-04-14,"LinkedIn Post","Portuguese","Marketing Automation","Friday",1809,0.0131677214532105,24
2023-04-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Saturday",11270,0.118653003408836,1337
2023-04-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Saturday",9874,0.110753186542592,1094
2023-04-15,"Newsletter","English","Monthly Newsletter","Saturday",12588,0.110989821590825,1397
2023-04-17,"Instagram Post","Spanish","Platform Improvements","Monday",2282,0.022704771194537,52
2023-04-17,"LinkedIn Post","English","Events","Monday",1749,0.00878563474496469,15
2023-04-18,"Instagram Post","Spanish","Platform Improvements","Tuesday",2319,0.0219645888762995,51
2023-04-18,"LinkedIn Post","Spanish","Marketing Automation","Tuesday",1806,0.01211561154531,22
2023-04-19,"Instagram Post","Italian","Platform Improvements","Wednesday",2119,0.0225481903874819,48
2023-04-19,"LinkedIn Post","English","Platform Improvements","Wednesday",1669,0.0147440339266505,25
2023-04-20,"Instagram Post","Portuguese","Partners","Thursday",2004,0.0161640966529402,32
2023-04-20,"LinkedIn Post","English","Marketing Automation","Thursday",1717,0.0114300147943889,20
2023-04-21,"Instagram Post","Spanish","Platform Improvements","Friday",2374,0.0182331855022342,43
2023-04-21,"LinkedIn Post","English","Events","Friday",1860,0.00967329391963537,18
2023-04-24,"Instagram Post","English","Platform Improvements","Monday",2229,0.0176732917482088,39
2023-04-24,"LinkedIn Post","English","Partners","Monday",1713,0.011722738851046,20
2023-04-25,"Instagram Post","Spanish","Partners","Tuesday",2300,0.0192924908633031,44
2023-04-25,"LinkedIn Post","Spanish","Platform Improvements","Tuesday",1584,0.0119931463526454,19
2023-04-26,"Instagram Post","Spanish","Marketing Automation","Wednesday",2321,0.0151315031144848,35
2023-04-26,"LinkedIn Post","Spanish","Platform Improvements","Wednesday",1852,0.0128066918721341,24
2023-04-27,"Instagram Post","English","Marketing Automation","Thursday",2190,0.018773323047587,41
2023-04-27,"LinkedIn Post","Spanish","Partners","Thursday",1898,0.0119878906737106,23
2023-04-28,"Instagram Post","Spanish","Marketing Automation","Friday",2127,0.0179167041048952,38
2023-04-28,"LinkedIn Post","English","Platform Improvements","Friday",1449,0.0131178373441402,19
2023-05-01,"Instagram Post","French","Humor","Monday",2324,0.0234207808113891,54
2023-05-01,"LinkedIn Post","Spanish","Humor","Monday",1515,0.0137015053972038,21
2023-05-02,"Instagram Post","English","Marketing Automation","Tuesday",2051,0.0172754421486196,35
2023-05-02,"LinkedIn Post","English","Marketing Automation","Tuesday",1754,0.0116890947105774,20
2023-05-03,"Instagram Post","English","Marketing Automation","Wednesday",2290,0.0200651394229933,46
2023-05-03,"LinkedIn Post","English","Marketing Automation","Wednesday",1751,0.00991971212934515,17
2023-05-04,"Instagram Post","Italian","Humor","Thursday",2207,0.0244562947034954,54
2023-05-04,"LinkedIn Post","English","Partners","Thursday",1606,0.010706289731904,17
2023-05-05,"Instagram Post","Spanish","Events","Friday",2018,0.0118417008548591,24
2023-05-05,"LinkedIn Post","Spanish","Platform Improvements","Friday",1439,0.0142179757593789,20
2023-05-08,"Instagram Post","English","Humor","Monday",2176,0.0221254636329193,48
2023-05-08,"LinkedIn Post","Spanish","Partners","Monday",1567,0.0114007782986054,18
2023-05-09,"Instagram Post","Italian","Platform Improvements","Tuesday",1841,0.0171329064116549,32
2023-05-09,"LinkedIn Post","Spanish","Humor","Tuesday",1544,0.0159256418948685,25
2023-05-10,"Instagram Post","Spanish","Events","Wednesday",2171,0.0109820513262624,24
2023-05-10,"LinkedIn Post","Spanish","Marketing Automation","Wednesday",1565,0.0106662576917145,17
2023-05-11,"Instagram Post","English","Marketing Automation","Thursday",2263,0.0144882697830727,33
2023-05-11,"LinkedIn Post","Spanish","Platform Improvements","Thursday",1678,0.0114243053004794,19
2023-05-12,"Instagram Post","Spanish","Platform Improvements","Friday",1872,0.0133716538809938,25
2023-05-12,"LinkedIn Post","Spanish","Events","Friday",1753,0.00837815756840982,15
2023-05-15,"Instagram Post","Spanish","Humor","Monday",1908,0.0207678380779025,40
2023-05-15,"LinkedIn Post","English","Marketing Automation","Monday",1809,0.012793680552555,23
2023-05-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Monday",11367,0.107725827656631,1224
2023-05-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Monday",8615,0.0996961650661449,859
2023-05-15,"Newsletter","English","Monthly Newsletter","Monday",13456,0.106736698200143,1436
2023-05-16,"Instagram Post","English","Humor","Tuesday",1853,0.0204088205478823,38
2023-05-16,"LinkedIn Post","English","Events","Tuesday",1554,0.00758060956088729,12
2023-05-17,"Instagram Post","French","Marketing Automation","Wednesday",2155,0.0179275366191866,39
2023-05-17,"LinkedIn Post","English","Platform Improvements","Wednesday",1545,0.0115720951651674,18
2023-05-18,"Instagram Post","English","Partners","Thursday",2493,0.0145942312676459,36
2023-05-18,"LinkedIn Post","Spanish","Platform Improvements","Thursday",1756,0.0126340627741438,22
2023-05-19,"Instagram Post","English","Partners","Friday",2362,0.0172937072120231,41
2023-05-19,"LinkedIn Post","English","Events","Friday",1395,0.0104390225249439,15
2023-05-22,"Instagram Post","English","Humor","Monday",1760,0.0221880644408666,39
2023-05-22,"LinkedIn Post","Spanish","Events","Monday",1401,0.00696286106037224,10
2023-05-23,"Instagram Post","Spanish","Humor","Tuesday",2407,0.0224092274162954,54
2023-05-23,"LinkedIn Post","English","Platform Improvements","Tuesday",1485,0.012762103770539,19
2023-05-24,"Instagram Post","Spanish","Platform Improvements","Wednesday",2297,0.0179038370686815,41
2023-05-24,"LinkedIn Post","Italian","Humor","Wednesday",1486,0.0135844197312469,20
2023-05-25,"Instagram Post","Spanish","Partners","Thursday",2376,0.0137239378587001,33
2023-05-25,"LinkedIn Post","Spanish","Partners","Thursday",1720,0.00970277858053764,17
2023-05-26,"Instagram Post","Spanish","Marketing Automation","Friday",1983,0.0178711398978626,35
2023-05-26,"LinkedIn Post","Spanish","Marketing Automation","Friday",1746,0.0109415994231133,19
2023-05-29,"Instagram Post","Italian","Platform Improvements","Monday",2462,0.0223294013548202,55
2023-05-29,"LinkedIn Post","Spanish","Platform Improvements","Monday",1258,0.0124794321533131,16
2023-05-30,"Instagram Post","Spanish","Humor","Tuesday",2130,0.0222974966611024,48
2023-05-30,"LinkedIn Post","Italian","Humor","Tuesday",1539,0.0136519976444904,21
2023-05-31,"Instagram Post","Spanish","Events","Wednesday",2045,0.0131048073441041,27
2023-05-31,"LinkedIn Post","English","Marketing Automation","Wednesday",1441,0.00938501985712962,14
2023-06-01,"Instagram Post","English","Partners","Thursday",1727,0.0151711355494181,26
2023-06-01,"LinkedIn Post","Italian","Platform Improvements","Thursday",1290,0.00960586766607763,12
2023-06-02,"Instagram Post","English","Marketing Automation","Friday",1779,0.0135867276623916,24
2023-06-02,"LinkedIn Post","Spanish","Partners","Friday",1347,0.00771841108954506,10
2023-06-05,"Instagram Post","Spanish","Platform Improvements","Monday",2078,0.0179255492126848,37
2023-06-05,"LinkedIn Post","English","Events","Monday",1177,0.00925404409951931,11
2023-06-06,"Instagram Post","Spanish","Platform Improvements","Tuesday",1839,0.0166939359135959,31
2023-06-06,"LinkedIn Post","English","Marketing Automation","Tuesday",1292,0.00785643721576951,10
2023-06-07,"Instagram Post","English","Partners","Wednesday",1880,0.0126334613307818,24
2023-06-07,"LinkedIn Post","Spanish","Events","Wednesday",1434,0.00675919560774784,10
2023-06-08,"Instagram Post","Spanish","Platform Improvements","Thursday",1997,0.0177271502144984,35
2023-06-08,"LinkedIn Post","Spanish","Events","Thursday",1381,0.00736816444469734,10
2023-06-09,"Instagram Post","Portuguese","Platform Improvements","Friday",2068,0.0173673105863539,36
2023-06-09,"LinkedIn Post","English","Platform Improvements","Friday",1446,0.0111174990867371,16
2023-06-12,"Instagram Post","English","Humor","Monday",1538,0.0192952328258135,30
2023-06-12,"LinkedIn Post","English","Platform Improvements","Monday",1395,0.010960523556544,15
2023-06-13,"Instagram Post","Spanish","Marketing Automation","Tuesday",1895,0.0129277581105968,25
2023-06-13,"LinkedIn Post","Italian","Marketing Automation","Tuesday",1638,0.0101195660929235,17
2023-06-14,"Instagram Post","English","Events","Wednesday",2121,0.0110997376138135,24
2023-06-14,"LinkedIn Post","Spanish","Marketing Automation","Wednesday",1482,0.00921198750882554,14
2023-06-15,"Instagram Post","Spanish","Events","Thursday",2050,0.0119590123711287,25
2023-06-15,"LinkedIn Post","Italian","Partners","Thursday",1728,0.0104180398876585,18
2023-06-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Thursday",9400,0.0827542183717691,778
2023-06-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Thursday",8445,0.0907924848793605,767
2023-06-15,"Newsletter","English","Monthly Newsletter","Thursday",12490,0.0947806469760321,1184
2023-06-16,"Instagram Post","Portuguese","Events","Friday",1841,0.011737922214231,22
2023-06-16,"LinkedIn Post","Spanish","Platform Improvements","Friday",1370,0.0105726527417111,14
2023-06-19,"Instagram Post","Italian","Marketing Automation","Monday",1825,0.0111208452130327,20
2023-06-19,"LinkedIn Post","Spanish","Marketing Automation","Monday",1472,0.00988522589058859,15
2023-06-20,"Instagram Post","Spanish","Marketing Automation","Tuesday",1547,0.0144847573882324,22
2023-06-20,"LinkedIn Post","Italian","Humor","Tuesday",1575,0.011834658614937,19
2023-06-21,"Instagram Post","English","Marketing Automation","Wednesday",2140,0.0116419308852491,25
2023-06-21,"LinkedIn Post","English","Humor","Wednesday",1461,0.0101504074641824,15
2023-06-22,"Instagram Post","Spanish","Events","Thursday",2213,0.0111756413100947,25
2023-06-22,"LinkedIn Post","English","Platform Improvements","Thursday",1464,0.0104153328902031,15
2023-06-23,"Instagram Post","Spanish","Platform Improvements","Friday",2032,0.0160790515401193,33
2023-06-23,"LinkedIn Post","English","Events","Friday",1214,0.00701286855634691,9
2023-06-26,"Instagram Post","Spanish","Platform Improvements","Monday",1500,0.0130503360642723,20
2023-06-26,"LinkedIn Post","English","Platform Improvements","Monday",1454,0.00974330530592941,14
2023-06-27,"Instagram Post","Italian","Humor","Tuesday",1927,0.0178756448142689,34
2023-06-27,"LinkedIn Post","Spanish","Events","Tuesday",1453,0.00712820242997386,10
2023-06-28,"Instagram Post","Spanish","Marketing Automation","Wednesday",1986,0.0144905169916157,29
2023-06-28,"LinkedIn Post","English","Partners","Wednesday",1519,0.0109236358789015,17
2023-06-29,"Instagram Post","Spanish","Platform Improvements","Thursday",1893,0.0159723128987476,30
2023-06-29,"LinkedIn Post","French","Platform Improvements","Thursday",1438,0.0105595101965662,15
2023-06-30,"Instagram Post","English","Marketing Automation","Friday",1574,0.0138888786548599,22
2023-06-30,"LinkedIn Post","Spanish","Marketing Automation","Friday",1439,0.0100983433674477,15
2023-07-03,"Instagram Post","Spanish","Humor","Monday",1629,0.0128566085440544,21
2023-07-03,"LinkedIn Post","English","Partners","Monday",955,0.00819152827119479,8
2023-07-04,"Instagram Post","Spanish","Events","Tuesday",1568,0.00848324043953923,13
2023-07-04,"LinkedIn Post","English","Partners","Tuesday",1049,0.0062140217659323,7
2023-07-05,"Instagram Post","English","Events","Wednesday",1244,0.00963752565292762,12
2023-07-05,"LinkedIn Post","English","Humor","Wednesday",1176,0.0108771643146434,13
2023-07-06,"Instagram Post","Spanish","Platform Improvements","Thursday",1495,0.0103401271170875,15
2023-07-06,"LinkedIn Post","English","Humor","Thursday",1096,0.00972928901570289,11
2023-07-07,"Instagram Post","English","Humor","Friday",1844,0.0135232833016162,25
2023-07-07,"LinkedIn Post","Spanish","Humor","Friday",1161,0.00942405440404105,11
2023-07-10,"Instagram Post","English","Events","Monday",1607,0.0101369494367163,16
2023-07-10,"LinkedIn Post","Spanish","Marketing Automation","Monday",1152,0.00720170154178212,8
2023-07-11,"Instagram Post","Italian","Partners","Tuesday",1287,0.0141154545976829,18
2023-07-11,"LinkedIn Post","English","Marketing Automation","Tuesday",932,0.00701874211282339,7
2023-07-12,"Instagram Post","Spanish","Humor","Wednesday",1691,0.0154798819265332,26
2023-07-12,"LinkedIn Post","Spanish","Platform Improvements","Wednesday",940,0.00764217861361556,7
2023-07-13,"Instagram Post","Spanish","Marketing Automation","Thursday",1827,0.0088848582425819,16
2023-07-13,"LinkedIn Post","Portuguese","Humor","Thursday",1034,0.0110360069855304,11
2023-07-14,"Instagram Post","English","Events","Friday",1477,0.00777368603312847,11
2023-07-14,"LinkedIn Post","Italian","Partners","Friday",1254,0.00913307950185242,11
2023-07-15,"Newsletter","Spanish (Spain)","Monthly Newsletter","Saturday",7570,0.0795075306629013,602
2023-07-15,"Newsletter","Spanish (LatAm)","Monthly Newsletter","Saturday",6187,0.0723181939116569,447
2023-07-15,"Newsletter","English","Monthly Newsletter","Saturday",8944,0.0692602349874246,619
2023-07-17,"Instagram Post","Spanish","Events","Monday",1634,0.00921232281589124,15
2023-07-17,"LinkedIn Post","Spanish","Humor","Monday",979,0.00889522667442654,9
2023-07-18,"Instagram Post","English","Platform Improvements","Tuesday",1514,0.0113206314873865,17
2023-07-18,"LinkedIn Post","Spanish","Humor","Tuesday",971,0.0112009633691544,11
2023-07-19,"Instagram Post","Spanish","Partners","Wednesday",1355,0.0117514905176753,16
2023-07-19,"LinkedIn Post","English","Platform Improvements","Wednesday",1133,0.00858253694603997,10
2023-07-20,"Instagram Post","English","Partners","Thursday",1342,0.0118210371709624,16
2023-07-20,"LinkedIn Post","French","Humor","Thursday",1212,0.00888156702312941,11
2023-07-21,"Instagram Post","Spanish","Humor","Friday",1451,0.0146409414810521,21
2023-07-21,"LinkedIn Post","Spanish","Marketing Automation","Friday",1375,0.00642465587075574,9
